"endpoint","test","objetivo","carga_vu_min","carga_vu_max","p95_ms","error_pct","capacidad_rps","resultado","usuarios"
"GET /api/presupuestos/completo-batch","load","Validar presupuestos agrupados del cliente bajo carga concurrente","","","","","","NO_EJECUTADA","no measured samples"
"GET /api/presupuestos/completo-batch","stress","Validar presupuestos agrupados del cliente bajo carga concurrente","10","30","2201.024","0","14.733","APROBADA","10→30 VUs"
"GET /api/presupuestos/completo-batch","spike","Validar presupuestos agrupados del cliente bajo carga concurrente","3","30","1995.43","0","8.683","APROBADA","3→30 VUs"
"GET /api/presupuestos/mis-presupuestos","load","Validar listado de presupuestos del transportista bajo carga concurrente","","","","","","NO_EJECUTADA","no measured samples"
"GET /api/presupuestos/mis-presupuestos","stress","Validar listado de presupuestos del transportista bajo carga concurrente","10","30","2401.467","0","14.133","APROBADA","10→30 VUs"
"GET /api/presupuestos/mis-presupuestos","spike","Validar listado de presupuestos del transportista bajo carga concurrente","3","30","2198.5","0","8.367","APROBADA","3→30 VUs"
"GET /api/presupuestos/solicitud/<solicitud_id>","smoke","Validar consulta de presupuestos por solicitud","1","3","215.047","0","1.075","APROBADA","1→3 VUs"
"GET /api/presupuestos/solicitud/<solicitud_id>","load","Validar consulta de presupuestos por solicitud","0","10","252.46","0","6.967","APROBADA","0→10 VUs"
"GET /api/presupuestos/solicitud/<solicitud_id>","stress","Validar consulta de presupuestos por solicitud","10","30","1994.746","0","16.3","APROBADA","10→30 VUs"
"GET /api/presupuestos/solicitud/<solicitud_id>","spike","Validar consulta de presupuestos por solicitud","3","30","1990.027","0","9.317","APROBADA","3→30 VUs"
"GET /api/solicitudes/<id>","smoke","Validar detalle de solicitud autenticado","1","3","256.575","0","1.05","APROBADA","1→3 VUs"
"GET /api/solicitudes/<id>","load","Validar detalle de solicitud autenticado","0","10","252.18","0","6.922","APROBADA","0→10 VUs"
"GET /api/solicitudes/<id>","stress","Validar detalle de solicitud autenticado","10","30","1609.563","0","20.767","APROBADA","10→30 VUs"
"GET /api/solicitudes/<id>","spike","Validar detalle de solicitud autenticado","3","30","1186.562","0","12.117","APROBADA","3→30 VUs"
"GET /api/solicitudes/mis-pedidos","load","Validar listado de solicitudes del cliente","0","10","493.534","0","6.467","APROBADA","0→10 VUs"
"GET /api/solicitudes/mis-pedidos","stress","Validar listado de solicitudes del cliente","10","30","3830.067","0","9.4","ADVERTENCIA","10→30 VUs"
"GET /api/solicitudes/mis-pedidos","spike","Validar listado de solicitudes del cliente","3","30","3775.263","0","5.4","APROBADA","3→30 VUs"
"GET /api/transportista/dashboard","load","Validar dashboard del transportista bajo carga concurrente","0","10","302.833","0","6.822","APROBADA","0→10 VUs"
"GET /api/transportista/dashboard","stress","Validar dashboard del transportista bajo carga concurrente","10","30","2402.778","0","12.5","APROBADA","10→30 VUs"
"GET /api/transportista/dashboard","spike","Validar dashboard del transportista bajo carga concurrente","3","30","1900.108","0","7.9","APROBADA","3→30 VUs"
"GET /api/transportista/historial","load","Validar historial del transportista bajo carga concurrente","0","10","1291.175","0","4.8","APROBADA","0→10 VUs"
"GET /api/transportista/historial","stress","Validar historial del transportista bajo carga concurrente","10","30","6621.575","0","6.133","FALLIDA","10→30 VUs"
"GET /api/transportista/historial","spike","Validar historial del transportista bajo carga concurrente","3","30","4934.546","0","4","APROBADA","3→30 VUs"
"GET /solicitudes/mis-pedidos-optimizado","load","Comparar el listado optimizado de solicitudes del cliente","0","10","511.778","0","6.311","APROBADA","0→10 VUs"
"GET /solicitudes/mis-pedidos-optimizado","stress","Comparar el listado optimizado de solicitudes del cliente","10","30","4027.128","0","8.833","ADVERTENCIA","10→30 VUs"
"GET /solicitudes/mis-pedidos-optimizado","spike","Comparar el listado optimizado de solicitudes del cliente","3","30","4098.907","0","4.867","APROBADA","3→30 VUs"
"PATCH /api/solicitudes/<id>","smoke","Validar actualización concurrente de solicitudes editables","1","3","259.859","0","1.05","APROBADA","1→3 VUs"
"PATCH /api/solicitudes/<id>","load","Validar actualización concurrente de solicitudes editables","0","10","366.253","0","6.678","APROBADA","0→10 VUs"
"PATCH /api/solicitudes/<id>","stress","Validar actualización concurrente de solicitudes editables","10","30","2197.115","0","13","APROBADA","10→30 VUs"
"PATCH /api/solicitudes/<id>","spike","Validar actualización concurrente de solicitudes editables","3","30","2096.626","0","8.2","APROBADA","3→30 VUs"
"POST /api/solicitudes","smoke","Validar creación concurrente de solicitudes de prueba","1","3","10000.422","0","0.125","FALLIDA","1→3 VUs"
"POST /api/solicitudes","load","Validar creación concurrente de solicitudes de prueba","","","","","","NO_EJECUTADA","mutation repair smoke gate failed"
"POST /api/solicitudes","stress","Validar creación concurrente de solicitudes de prueba","","","","","","NO_EJECUTADA","mutation repair smoke gate failed"
"POST /api/solicitudes","spike","Validar creación concurrente de solicitudes de prueba","","","","","","NO_EJECUTADA","mutation repair smoke gate failed"
